,Text,Type,Mesh
0,Naloxone,Chemical,D009270
1,Clonidine,Chemical,D003000
2,Hypertensive,Disease,D006973
3,Nalozone,Chemical,Unknown
4,Hypotensive,Disease,D007022
5,Alpha-methyldopa,Chemical,D008750
6,[3h]-naloxone,Chemical,Unknown
7,[3h]-dihydroergocryptine,Chemical,Unknown
8,Lidocaine,Chemical,D008012
9,Cardiac asystole,Disease,D006323
10,Depression,Disease,D003866
11,Bradyarrhythmias,Disease,D001919
12,Suxamethonium,Chemical,D013390
13,Fasciculations,Disease,D005207
14,Suxamethonium chloride,Chemical,D013390
15,Sch,Chemical,D013390
16,Tetanic,Disease,D013746
17,Fasciculation,Disease,D005207
18,Twitch,Disease,D013746
19,Tetanus,Disease,D013746
20,Galanthamine hydrobromide,Chemical,D005702
21,Scopolamine,Chemical,D012601
22,Hyoscine,Chemical,D012601
23,Overdosage,Disease,D062787
24,Physostigmine,Chemical,D010830
25,Lithium,Chemical,D008094
26,Chronic renal failure,Disease,D007676
27,Nephropathy,Disease,D007674
28,Renal failure,Disease,D051437
29,Li,Chemical,D008094
30,Proteinuria,Disease,D011507
31,Hypertension,Disease,D006973
32,Glomerulosclerosis,Disease,D005921
33,Creatinine,Chemical,D003404
34,Crohn's disease,Disease,D003424
35,Fusidic acid,Chemical,D005672
36,Cyclosporin,Chemical,D016572
37,Nausea,Disease,D009325
38,Inflammatory bowel disease,Disease,D015212
39,Myocardial injury,Disease,D009202
40,Cocaine,Chemical,D003042
41,Schizophrenic,Disease,D012559
42,Myocardial infarction,Disease,D009203
43,Ischemia,Disease,D007511
44,Bundle branch block,Disease,D002037
45,Sulpiride,Chemical,D013469
46,Tardive dystonia,Disease,D004421
47,Antidepressant,Chemical,D000928
48,Tardive dyskinesia,Disease,D004409
49,Parkinsonism,Disease,D010302
50,Dystonia,Disease,D004421
51,Desferrioxamine,Chemical,D003676
52,Visual toxicity,Disease,D014786
53,Dyschromatopsy,Disease,Unknown
54,A loss of visual acuity,Disease,D014786
55,Pigmentary retinal deposits,Disease,D012164
56,Auditory toxicity,Disease,D006311
57,Neurosensorial hearing loss,Disease,D006319
58,Hearing loss,Disease,D034381
59,Toxicity,Disease,D064420
60,Aluminium,Chemical,Unknown
61,Myasthenia gravis,Disease,D009157
62,Magnesium,Chemical,D008274
63,Neuromuscular disease,Disease,D009468
64,Quadriplegic,Disease,D011782
65,Preeclampsia,Disease,D011225
66,Postsynaptic neuromuscular blockade,Disease,D009468
67,Acetylcholine,Chemical,D000109
68,Paralysis,Disease,D010243
69,Disorder of neuromuscular transmission,Disease,D020511
70,Chloroacetaldehyde,Chemical,C004656
71,Cyclophosphamide,Chemical,D003520
72,Ifosfamide,Chemical,D007069
73,Caa,Chemical,C004656
74,Bladder damage,Disease,D001745
75,Mesna,Chemical,D015080
76,Pain,Disease,D010146
77,Migraine,Disease,D008881
78,Nitroglycerin,Chemical,D005996
79,Clotiazepam,Chemical,C084599
80,Hepatitis,Disease,D056486
81,Extensive hepatocellular necrosis,Disease,D047508
82,Thienodiazepine,Chemical,C013295
83,Benzodiazepines,Chemical,D001569
84,Hepatotoxicity,Disease,D056486
85,Ketoconazole,Chemical,D007654
86,Cushing's syndrome,Disease,D003480
87,Cortisol,Chemical,D006854
88,Deoxycorticosterone,Chemical,D003900
89,11-deoxycortisol,Chemical,D003350
90,Aldosterone,Chemical,D000450
91,Angiotensin,Chemical,D000809
92,Captopril,Chemical,D002216
93,Intravascular coagulation,Disease,D004211
94,Tranexamic acid,Chemical,D014148
95,Amca,Chemical,D014148
96,Trauma,Disease,D014947
97,Sepsis,Disease,D018805
98,Renal damage,Disease,D007674
99,Urea,Chemical,D014508
100,Angiotension ii,Chemical,D000804
101,Prostacyclin,Chemical,D011464
102,Bradykinin,Chemical,D001920
103,Kidney damage,Disease,D007674
104,Labetalol,Chemical,D007741
105,Nitroprusside,Chemical,D009599
106,Hypotension,Disease,D007022
107,Reductions in mean arterial blood pressure,Disease,D007022
108,Increase in heart rate and cardiac output,Disease,D016534
109,Po2,Chemical,C093415
110,Carbamazepine,Chemical,D002220
111,Folate,Chemical,D005492
112,Cbz,Chemical,D002220
113,Propylene glycol,Chemical,D019946
114,Seizures,Disease,D012640
115,Weight gain,Disease,D015430
116,Hexafluorodiethyl ether,Chemical,D005481
117,Hfde,Chemical,D005481
118,Sodium,Chemical,D012964
119,Norepinephrine,Chemical,D009638
120,Epinephrine,Chemical,D004837
121,Tachycardia,Disease,D013610
122,Hydralazine,Chemical,D006830
123,Death,Disease,D003643
124,Gestational trophoblastic disease,Disease,D031901
125,Choriocarcinoma,Disease,D002822
126,Etoposide,Chemical,D005047
127,Methotrexate,Chemical,D008727
128,Actomycin-d,Chemical,D003609
129,Cisplatin,Chemical,D002945
130,Pulmonary obstruction,Disease,D011655
131,Tumor,Disease,D009369
132,Necrosis,Disease,D009336
133,Embolism,Disease,D004617
134,Pelvic tumor,Disease,D010386
135,Sexual dysfunction,Disease,D012735
136,Arthritis,Disease,D001168
137,Rheumatoid arthritis,Disease,D001172
138,Osteoarthritis,Disease,D010003
139,Spondyloarthropathy,Disease,D025242
140,Depressed mood,Disease,D003866
141,Sexual dysfunctions,Disease,D012735
142,Impotence,Disease,D007172
143,Paracetamol,Chemical,D000082
144,Urothelial cancer,Disease,D014523
145,Renal papillary necrosis,Disease,D007681
146,Phenacetin,Chemical,D010615
147,Ureteric cancer,Disease,D014516
148,Cancers,Disease,D009369
149,Cancer of the ureter,Disease,D014516
150,Dapsone,Chemical,D003622
151,Hemolytic anemia,Disease,D000743
152,Leprosy,Disease,D007918
153,Hemolysis,Disease,D006461
154,Glutathione,Chemical,D005978
155,Gsh,Chemical,D005978
156,Pentose phosphate,Chemical,D010428
157,Infection,Disease,D007239
158,Metoprolol,Chemical,D008790
159,Propafenone,Chemical,D011405
160,Diltiazem,Chemical,D004110
161,Sparteine,Chemical,D013034
162,Coronary artery disease,Disease,D003324
163,Shock,Disease,D012769
164,Av block,Disease,D054537
165,Impairment of ventricular function,Disease,D018754
166,Debrisoquine,Chemical,D003647
167,Adverse drug reactions,Disease,D064420
168,Triazolam,Chemical,D014229
169,Mania,Disease,D001714
170,Depressed,Disease,D003866
171,Organic mental disorder,Disease,D019965
