,ID,Chemical,Disease
0,227508,D008750,D007022
1,354896,D008012,D006323
2,435349,D013390,D005207
3,603022,D012601,D062787
4,1378968,D008094,D006973
5,1378968,D008094,D011507
6,1378968,D008094,D007676
7,1420741,D005672,D009325
8,1601297,D003042,D009203
9,1601297,D003042,D002037
10,1967484,D013469,D004421
11,2234245,D003676,D012164
12,2234245,D003676,D014786
13,2234245,D003676,D006319
14,2385256,D008274,D009157
15,2505783,C004656,D003556
16,2505783,C004656,D006470
17,2515254,D005996,D008881
18,2572625,C084599,D056486
19,2632720,D007654,D006973
20,2670794,D014148,D004211
21,2696505,D009599,D007022
22,2696505,D009599,D016534
23,2696505,D007741,D007022
24,2924746,D005481,D012640
25,2951327,D005996,D007022
26,2951327,D006830,D007022
27,3192036,D005047,D011655
28,3192036,D008727,D011655
29,3192036,D003520,D011655
30,3409645,D008727,D007172
31,3412544,D010615,D007681
32,3412544,D010615,D001749
33,3412544,D010615,D007680
34,3425586,D003622,D000743
35,3437726,D004110,D007022
36,3437726,D004110,D018754
37,3437726,D008790,D018754
38,3437726,D008790,D007022
39,3437726,D004110,D054537
40,3437726,D008790,D054537
41,3693336,D014229,D001714
42,3780846,D006220,D009127
43,3780846,D009020,D009127
44,3780846,D009020,D006948
45,3780846,D009020,D018476
46,3800626,D010423,D005355
47,3800626,D010423,D009135
48,3800626,D010423,D020425
49,3800626,D010423,D009408
50,3827439,D000666,D058186
51,3997294,D000638,D010490
52,3997294,D000638,D009468
53,3997294,D000638,D010996
54,3997294,D000638,D011014
55,4071154,D007213,D006947
56,4071154,D007213,D009846
57,4071154,D007213,D058186
58,4071154,D007213,D005355
59,4071154,D007213,D001201
60,4071154,D007213,D011660
61,6103707,D005445,D004244
62,6103707,D005445,D010146
63,6229975,D013999,D006332
64,6286738,D002762,D006934
65,6286738,D002762,D054559
66,6287825,D012256,D010523
67,6287825,D013831,D010523
68,6287825,D007538,D010523
69,6386793,D000639,D014786
70,6386793,D000639,D014987
71,6387529,D011433,D008569
72,6387529,D003975,D008569
73,6692345,D005200,D001749
74,6692345,D005200,D013274
75,6773726,D005996,D007022
76,6888657,D004054,D010911
